Term,Tf,Df,Idf,c-TF-IDF
far,1.7346418713774256,14,4.16688052974982,7.228045439931385
regard,1.3136319509684307,3,5.48863636973214,7.210048102527516
mechanic,1.6721524303794866,12,4.309981373390494,7.206945828405232
strategy,1.57404921162288,9,4.572345637857985,7.197097046537678
add,1.7953517440961149,17,3.984558972955866,7.153684901550139
beholder,1.2356558081968287,2,5.77631844218392,7.137541433079019
nazi,1.4823144759830587,7,4.795489189172194,7.108423044530204
sale,1.7036323609254231,14,4.16688052974982,7.098832514591865
access,1.4373958800615383,6,4.929020581796717,7.084953877013128
however,1.7738692427786933,17,3.984558972955866,7.06808660816427
horror,1.3797569088934019,5,5.083171261623976,7.013540667314072
gear,1.5262210658338136,9,4.572345637857985,6.978410232772205
problem,1.6414719886973417,13,4.235873401236772,6.953067535798295
thumb,1.3154328777233084,4,5.26549281841793,6.926402370762911
dice,1.3110386325571783,4,5.26549281841793,6.903264504398286
must,1.5373616449472303,10,4.47703545805366,6.88282259628045
fix,1.6502601183326844,14,4.16688052974982,6.8764367561030975
stuff,1.3498933463238005,5,5.083171261623976,6.861739064290564
pay,1.5562227684275434,11,4.3900240810640305,6.8318554288970486
whole,1.491669497189038,9,4.572345637857985,6.8204285185981135
ui,1.4888992903990672,9,4.572345637857985,6.807762175666026
cod,1.2399313544303787,3,5.48863636973214,6.80553232789781
fight,1.657796932010458,15,4.102342008612249,6.800849995935006
actually,1.4863582993027278,9,4.572345637857985,6.7961438861108405
less,1.5359015266562681,11,4.3900240810640305,6.742644688164026
hard,1.6872689735982167,17,3.984558972955866,6.72302272854081
work,1.76737916110514,22,3.7394365149228808,6.609002170750328
reason,1.4759118384513241,10,4.47703545805366,6.607709633707743
boss,1.504177372887474,11,4.3900240810640305,6.603374889167641
pace,1.3337558110363703,6,4.929020581796717,6.574109843689242
sometimes,1.4665327694269776,10,4.47703545805366,6.565719209122212
since,1.5370991816755832,13,4.235873401236772,6.51095753872241
find,1.6733044228261464,19,3.8791984572980396,6.491079935617176
type,1.3166851920858715,6,4.929020581796717,6.489968411538223
point,1.5566584333892666,14,4.16688052974982,6.486409717560594
might,1.4152236887771132,9,4.572345637857985,6.470891859973322
successor,1.227796330665926,4,5.26549281841793,6.46495276160132
edit,1.3096066238735034,6,4.929020581796717,6.455078003129808
per,1.4671817056680327,11,4.3900240810640305,6.440963019179263
die,1.3712898201025496,8,4.677706153515811,6.414490829747288
unlock,1.4325052257143447,10,4.47703545805366,6.413376689370282
high,1.5606791705171092,15,4.102342008612249,6.402439723178456
completely,1.4823280491266668,12,4.309981373390494,6.388806280990203
end,1.5330646608082175,14,4.16688052974982,6.388097285969273
deal,1.2943136545918026,6,4.929020581796717,6.379698642783521
force,1.6206454644053498,18,3.93049175168559,6.36993363025189
marine,1.1601476911843163,3,5.48863636973214,6.36762881209501
voice,1.4213325465423283,10,4.47703545805366,6.363356208555707
choice,1.4758785894852744,12,4.309981373390494,6.361009230067367
support,1.3555088197364962,8,4.677706153515811,6.3406719472263635
expect,1.4414471914073288,12,4.309981373390494,6.21261054569163
save,1.3551724644141538,9,4.572345637857985,6.196316906209312
lose,1.354430173788627,9,4.572345637857985,6.192922896905662
goody,1.0,1,6.181783550292085,6.181783550292085
woooooooooooooooo,1.0,1,6.181783550292085,6.181783550292085
dream,1.0,1,6.181783550292085,6.181783550292085
miud,1.0,1,6.181783550292085,6.181783550292085
brawlhalla,1.0,1,6.181783550292085,6.181783550292085
fan,1.3493492102957523,9,4.572345637857985,6.169690975642902
bean,1.067286696490055,2,5.77631844218392,6.164987828033056
ea,1.2093930679412015,5,5.083171261623976,6.147552086965969
among,1.1197791347483568,3,5.48863636973214,6.146060485047017
control,1.3949016536270729,11,4.3900240810640305,6.123651850138886
funny,1.1105313366424123,3,5.48863636973214,6.095302684022791
soundtrack,1.1981319850476366,5,5.083171261623976,6.090310074026634
order,1.3009432113874426,8,4.677706153515811,6.085430065281661
release,1.3296731087217846,9,4.572345637857985,6.079725038441118
score,1.2661858721156916,7,4.795489189172194,6.071980661213364
kinda,1.151568754837863,4,5.26549281841793,6.063577008513246
another,1.5827113267603872,20,3.8304082931286074,6.062430591651569
return,1.2627019243253033,7,4.795489189172194,6.055273427248919
difficulty,1.3995865621868182,12,4.309981373390494,6.032192013472821
tedious,1.144856409066587,4,5.26549281841793,6.028233200059854
update,1.3172210297424025,9,4.572345637857985,6.022789829437476
always,1.2868465704751324,8,4.677706153515811,6.019490121342244
never,1.4395841923139028,14,4.16688052974982,5.9985753418884205
gr,0.9693546176505283,1,6.181783550292085,5.992340429791709
legendry,0.9693546176505283,1,6.181783550292085,5.992340429791709
perfec,0.9693546176505283,1,6.181783550292085,5.992340429791709
cool,1.2808878040374156,8,4.677706153515811,5.991616762909173
ai,1.3895747552773081,12,4.309981373390494,5.989041312178852
life,1.3327581325511006,10,4.47703545805366,5.966805416440657
market,1.0866957344241484,3,5.48863636973214,5.96447773079316
beat,1.2746848719841553,8,4.677706153515811,5.962601269473797
solid,1.2095642393364314,6,4.929020581796717,5.961967030694561
wish,1.3577019286769485,11,4.3900240810640305,5.960344161798884
complete,1.3793716757348418,12,4.309981373390494,5.9450662293996
attack,1.2027816856574876,6,4.929020581796717,5.928535684013903
item,1.293795401216234,9,4.572345637857985,5.91567975903177
seem,1.4195382626232576,14,4.16688052974982,5.915046347759738
allow,1.2905315368551273,9,4.572345637857985,5.900756243057704
class,1.1604076117982078,5,5.083171261623976,5.898550624062361
act,1.288042563821537,9,4.572345637857985,5.88937579806482
skill,1.2538071265889519,8,4.677706153515811,5.864941311367119
