steam_id,total_game,total_achievement,dominant_topic,top_1_genre,top_2_genre,top_3_genre,archetype_1_weight,archetype_2_weight,archetype_3_weight,archetype_4_weight,archetype_5_weight,archetype_6_weight,archetype_7_weight
76561198121696622,0.1556350626118068,0.0940283400809716,0,9,17,1,0.0,0.0,0.0,0.9487235603540236,0.03224158943370332,0.0,0.019034850212273174
76561198122292277,0.0769230769230769,0.1657894736842105,0,1,2,9,0.0,0.0,0.0,0.0,0.2782302850854687,0.7067100378298277,0.015059677084703503
76561198147075448,0.0429338103756708,0.0665991902834008,0,1,2,9,0.0,0.0,0.012910577065264236,0.0,0.9870894229347358,0.0,0.0
76561198150437413,0.0161001788908765,0.0412955465587044,0,1,2,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76561198159956177,0.0554561717352415,0.1696356275303643,0,1,2,9,0.0,0.0,0.06679307039917823,0.0,0.8377237003170296,0.09548322928379208,0.0
76561198170036259,0.1377459749552772,0.3379554655870445,0,1,2,9,0.0,0.0,0.21047116860317677,0.0,0.16072922405417428,0.628799607342649,0.0
76561198192893105,0.1001788908765653,0.2976720647773279,0,9,17,13,0.9657283547762184,0.0,0.0,0.0,0.0,0.0,0.03427164522378145
76561198201248007,0.3434704830053666,0.2932186234817813,0,1,9,2,0.0,0.0,0.9078992766932307,0.0,0.0,0.09210072330676931,0.0
76561198336656213,0.3148479427549194,0.0129554655870445,0,1,2,9,0.0,0.0,0.8647446823600357,0.0,0.13525531763996443,0.0,0.0
76561198353192608,0.0483005366726297,0.0332995951417004,0,1,2,9,0.0,0.0,0.03233629740921272,0.0,0.9676637025907874,0.0,0.0
76561198796747013,0.0822898032200357,0.1492914979757085,0,1,2,9,0.0,0.0,0.2357222492347404,0.0,0.7642777507652596,0.0,0.0
76561198829145577,0.0035778175313058,0.0620445344129554,0,1,2,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76561198961717161,0.0125223613595706,0.042408906882591,0,1,2,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76561198975545285,0.2790697674418604,0.1849190283400809,0,1,2,9,0.0,0.0,0.8313132425680142,0.0,0.16868675743198586,0.0,0.0
76561199027285610,0.0196779964221824,0.1819838056680162,0,1,2,9,0.0,0.0,0.0,0.0,0.9834026518334186,0.016597348166581496,0.0
76561199041275399,0.0,0.1392712550607287,0,1,2,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
