,total_game,total_achievement,total_playtime,topic_count_1,topic_count_2,topic_count_3,topic_count_4,genre_count_1,genre_count_2,genre_count_9,genre_count_13,genre_count_15,genre_count_17,topic_count_1_prop,topic_count_2_prop,topic_count_3_prop,topic_count_4_prop,genre_count_1_prop,genre_count_2_prop,genre_count_9_prop,genre_count_13_prop,genre_count_15_prop,genre_count_17_prop
76561198009353718,0.0907821229050279,0.3874028555937104,0.5215126755384396,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7004608294930876,0.0,0.0,0.0,0.7004608294930875,0.7096774193548387,0.7004608294930875,0.0,0.0,0.0
76561198011413162,0.0418994413407821,0.1496475691306705,0.6536612191908726,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8351648351648352,0.8461538461538463,0.0,0.8516483516483517,0.0,0.0
76561198011778207,0.1284916201117318,0.0923549611422375,0.6656377010130476,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6311475409836066,0.0,0.0,0.6229508196721312,0.6311475409836066,0.6229508196721312,0.0,0.0,0.0
76561198011803825,0.0391061452513966,0.1801012109163202,0.2897827174199802,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8444444444444446,0.0,0.0,0.0,0.8444444444444444,0.8555555555555556,0.8444444444444444,0.0,0.0,0.0
76561198022439862,0.2849162011173184,0.215615398517983,0.2749051656942369,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4353932584269662,0.4269662921348314,0.0,0.4269662921348314,0.0,0.0,0.4353932584269663
76561198025583859,0.7262569832402235,0.2022410988613772,0.0911478313736966,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2306547619047619,0.2261904761904761,0.2291666666666666,0.2261904761904761,0.0,0.0,0.0
76561198025679656,0.0879888268156424,0.1377191397072112,0.0360273971969574,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7069767441860466,0.0,0.0,0.0,0.7069767441860465,0.7162790697674418,0.7069767441860465,0.0,0.0,0.0
76561198031720187,0.0279329608938547,0.1162118199891559,0.277440085752649,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8953488372093024,0.0,0.0,0.8837209302325582,0.8953488372093024,0.8837209302325582,0.0,0.0,0.0
76561198032898393,0.0223463687150838,0.0440086752213988,0.3464311951703823,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9226190476190476,0.0,0.0,0.9047619047619048,0.0,0.9047619047619048,0.9226190476190476
76561198037222425,0.2793296089385475,0.2656786553406832,0.1121679960339569,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.440340909090909,0.0,0.0,0.4318181818181818,0.4403409090909091,0.0,0.4403409090909091
76561198037246903,0.1354748603351955,0.8566781131393458,0.5703089181096691,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224899598393574,0.610441767068273,0.6184738955823292,0.610441767068273,0.0,0.0,0.0
